,Worksection 1.0,Worksection 2.0
⚡ Швидкість відкриття задачі ,~1 с,~0.3 с
🧭 Сайдбар-навігація,❌,✅
💬 Вбудований месенджер ,❌,✅
📄 Табличний вигляд задач,❌,✅
🗂 Трей відкритих вкладок,❌,✅
🔎 Розумний пошук (AI),❌,✅
🔧 Збережені режими відображення ,❌,✅
📊 Дашборд з віджетами,❌,✅
🧱 Кастомні властивості задач,❌,✅
🔗 Зв’язки між задачами ,Базові залежності,"Розширені: блокери, інфозв’язки, залежності «почати після завершення»"
📅 Діаграма Ганта,"Редагування через форму задачі, обмежений горизонт планування","Редагування на таймлайні, планування на роки з можливістю перегляду минулих періодів, згортання/розгортання підзадач"
🗃 Канбан,"Без групування, масові дії обмежені","Гнучка ширина колонок, можливість зміни виконавців, термінів і пріоритетів прямо на дошці, масовий Drag&Drop, групування карток за ієрархією "
⏱ Тайм-трекінг,"✅ Автоматичне та ручне внесення часу, базові звіти ","✅ Автоматичне та ручне внесення часу, старт/стоп таймер, «затрати за сьогодні», детальні звіти"
🔒 Безпека ,"Сертифікація ISO 27001
Повна відповідність GDPR",